"Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
1510,15252,1135,4288,5505,940,7657,1865,670
1193,16167,1052,4860,5163,932,7370,1460,744
1378,15837,1040,4288,5240,992,7291,1796,704
1217,15292,1075,4999,5526,935,7829,1626,601
1354,15917,987,4392,4796,823,5580,1994,748
1336,14435,1103,4248,5041,842,6101,1516,562
1138,14927,1037,4671,5197,1262,6842,1590,896
1346,16954,1126,5420,4782,944,7222,1612,629
1271,14675,1027,5336,5589,1045,7468,1486,741
1265,13961,1080,4560,4254,988,7006,1561,658
1186,16298,1029,5528,5098,975,6070,1514,747
1274,11763,1042,5218,4856,1137,7022,2074,550
1113,15198,1128,4171,4911,1053,8044,1768,735
1019,13733,1090,5664,5826,991,7502,1377,809
1424,14789,1078,4153,5014,1166,6740,1874,709
1282,15149,1034,4503,4977,933,6905,1678,715
1505,15670,1011,4054,5358,1051,7132,1507,888
1169,16735,1086,4908,3830,966,7754,1973,648
1351,14417,1030,5114,4495,954,7847,1795,593
1403,16250,1045,5159,5093,846,6229,1916,624
1343,14844,1024,4329,5174,1222,7814,1838,589
1401,16296,977,5314,5416,838,6104,1762,547
1538,17086,1026,4954,4675,935,6867,1568,563
1554,15792,1035,5217,5811,925,5873,1635,762
1210,12435,1025,4473,5081,763,9104,1425,759
1204,15073,1048,4317,5339,804,7135,1760,651
1374,13348,1043,4332,4748,876,6685,1796,620
1151,16034,1030,4486,4733,1116,7078,1610,733
1462,14890,1097,4765,4943,1087,8138,1815,754
1290,14193,1083,4334,4898,900,8099,1900,576
1255,14339,1034,4001,5019,953,6721,1539,764
1132,15115,1060,5124,4596,924,8400,1943,828
1375,16220,1125,4925,5382,901,6297,1591,580
1267,16679,1000,4900,5125,1056,8276,1826,630
1437,12993,1064,4110,4948,792,7558,1977,693
1336,14297,1039,4569,4961,1167,5954,1967,562
1286,13183,1026,4651,5614,964,7387,1836,701
1070,14398,1121,4654,4372,1028,6644,1838,665
1322,15225,1080,5566,5131,1043,6401,1743,692
1315,15052,1049,4417,4820,1120,6945,1870,701
1263,14659,1019,4727,5510,735,8095,1388,622
1179,16946,1075,5111,4838,951,6773,1907,872
1339,14753,989,4358,5072,1107,7715,1744,808
1180,14962,1072,3909,5070,991,7396,1662,590
1178,16707,941,4391,4911,760,6588,1852,626
1502,17624,1187,5617,5207,922,5870,1797,573
963,15457,1098,4105,5862,1266,6328,1868,775
1088,16002,968,4858,5164,875,7249,2141,831
1172,15247,1040,4523,4724,919,6522,1319,836
1292,14489,1153,4481,4832,1019,6263,1701,808
1311,15080,1084,3674,4494,906,8359,1554,810
1201,17437,1097,4040,4618,1043,6672,1812,772
1348,15068,1074,4961,4929,799,5751,1937,692
1372,17571,1123,5065,5763,1050,7207,1531,871
1181,15288,970,5022,5340,800,8992,1568,567
1123,17010,1031,4753,4907,943,7772,1725,716
1344,13975,1157,3890,4916,997,6419,1697,678
1170,15159,967,4730,5392,983,6461,1858,775
1364,15048,1091,4898,5254,860,8265,1571,811
1128,14175,1022,4554,4623,805,7923,1322,632
1138,16366,1006,4602,4774,1024,8094,1760,687
858,15232,1094,4931,5478,732,6775,1719,702
1368,12803,973,4409,4772,890,8496,1877,620
1281,15379,933,4628,4787,1011,6751,1666,784
1144,13558,1055,4811,4964,878,7185,1505,570
