"simulation","iteration","South Asia","North America","Oceania","Western Asia","Latin America","Eastern Europe and Central Asia","Western and Central Europe","East Asia","Africa"
280,4616,0.860191,0.95188,0.991187,1,0.942413,1,0.974711,0.948899,0.98308
281,3630,0.900318,0.930264,0.991262,0.997705,0.907258,0.980589,0.981889,0.969224,0.993723
282,3989,0.903358,0.947351,0.994051,1,0.931852,1,0.996017,0.947479,0.989072
283,7950,0.866826,0.926378,0.981023,1,0.918071,1,0.964824,0.952987,0.990291
284,3087,0.861595,0.929026,0.98382,0.98408,0.918682,1,0.989969,0.970089,0.984132
285,3310,0.886934,0.90291,0.989477,1,0.91853,0.980927,0.98597,0.953524,0.979886
286,4233,0.900543,0.960229,0.970928,0.998151,0.913819,1,0.969443,0.943088,0.991065
287,5535,0.892827,0.942216,0.983634,1,0.907864,1,0.965276,0.957439,0.982492
288,3267,0.914357,0.948842,0.976751,0.998446,0.918075,0.994812,0.968456,0.921653,0.990068
289,3317,0.884891,0.944153,0.957674,1,0.941966,1,0.995279,0.875263,0.996239
290,3615,0.896555,0.925107,0.986803,1,0.924479,0.983688,0.972212,0.929452,1
291,2245,0.879383,0.943487,0.98733,1,0.917067,0.993598,0.964288,0.934707,0.997893
292,5077,0.881196,0.934039,0.982072,1,0.929524,1,0.98812,0.923261,0.995269
293,3544,0.915131,0.941615,0.976629,0.993525,0.919744,0.995415,0.985133,0.937307,0.983993
294,5099,0.896148,0.920131,0.986375,0.999862,0.916558,1,0.979811,0.955856,0.975048
