"simulation","iteration","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
337,4136,0.842445,0.866215,0.84836,0.891713,0.88026
338,5682,0.818783,0.900515,0.877774,0.891805,0.858836
339,3432,0.842348,0.863708,0.836707,0.880744,0.858583
340,4777,0.791986,0.820923,0.832851,0.849123,0.850628
341,2927,0.842931,0.842849,0.835373,0.868753,0.864071
342,4730,0.859114,0.902068,0.840179,0.890734,0.883345
343,2403,0.860981,0.888136,0.867203,0.880912,0.887187
344,4599,0.830321,0.876126,0.869625,0.907122,0.870893
345,1818,0.884779,0.90164,0.877566,0.899121,0.898663
346,2221,0.888661,0.882566,0.866416,0.874135,0.896864
347,3233,0.824752,0.848446,0.864843,0.869814,0.863942
348,3291,0.850869,0.886713,0.854764,0.889676,0.88612
349,5751,0.815775,0.898576,0.874357,0.898434,0.882835
350,4012,0.835414,0.859038,0.852448,0.8804,0.881126
351,6862,0.848902,0.910497,0.826718,0.9198,0.875099
352,4293,0.840984,0.891879,0.863936,0.903034,0.893971
353,2161,0.864662,0.883806,0.881246,0.893037,0.889688
354,4455,0.840126,0.886909,0.850642,0.898931,0.891456
355,2825,0.852304,0.86576,0.823586,0.858275,0.841935
356,3742,0.81459,0.843395,0.818747,0.834464,0.870377
357,2762,0.853431,0.861817,0.846319,0.85781,0.819728
358,2770,0.851667,0.88595,0.870729,0.890906,0.893457
359,3567,0.84826,0.878478,0.862389,0.891354,0.890183
360,3610,0.8248,0.842767,0.840729,0.876373,0.812627
361,2401,0.856696,0.860606,0.854003,0.87975,0.883602
362,4014,0.823389,0.870882,0.852058,0.857927,0.873208
363,1527,0.900415,0.897986,0.880024,0.90211,0.897563
364,1574,0.872908,0.87449,0.852873,0.864722,0.868108
365,4995,0.798004,0.840977,0.83253,0.853081,0.860508
366,5398,0.820509,0.860067,0.866129,0.898102,0.880932
367,6830,0.808232,0.857147,0.830353,0.870949,0.894177
368,7558,0.827039,0.846478,0.888571,0.913709,0.905934
369,4506,0.838594,0.887797,0.876404,0.894408,0.894565
370,2410,0.853088,0.864349,0.863574,0.834595,0.859519
371,4492,0.829491,0.87785,0.863578,0.873902,0.890326
372,4359,0.840268,0.873511,0.874669,0.882021,0.897449
373,6293,0.774146,0.830569,0.80979,0.851241,0.839735
374,3996,0.856364,0.903473,0.88954,0.918907,0.913686
375,2800,0.844461,0.868466,0.86793,0.889933,0.867705
376,4304,0.81153,0.833823,0.815921,0.847864,0.866437
377,2414,0.873047,0.893529,0.875779,0.90775,0.887612
378,4903,0.814667,0.866502,0.856599,0.882293,0.876108
379,6770,0.787927,0.851319,0.880439,0.868817,0.866202
380,2758,0.855089,0.86104,0.870469,0.910059,0.876257
381,4810,0.848366,0.891477,0.841723,0.898573,0.882886
382,4409,0.817255,0.880401,0.864793,0.880202,0.884018
383,4958,0.822903,0.863426,0.836179,0.880472,0.876908
384,4531,0.832828,0.88167,0.884936,0.844288,0.896979
385,4263,0.813461,0.822489,0.834628,0.865979,0.844864
386,2751,0.865299,0.86538,0.879417,0.886489,0.892266
387,1149,0.878576,0.893693,0.875271,0.882857,0.886189
388,2624,0.84089,0.866803,0.86934,0.887297,0.879053
389,3939,0.841685,0.872634,0.850602,0.890728,0.881212
390,5699,0.861369,0.827496,0.882101,0.8961,0.894706
391,5927,0.804571,0.881789,0.884582,0.881507,0.877511
392,5712,0.816325,0.889449,0.860524,0.884574,0.858222
393,5391,0.834462,0.889065,0.841579,0.882063,0.915401
394,5304,0.822629,0.87152,0.87937,0.893331,0.854055
395,2371,0.857803,0.854453,0.85737,0.883851,0.880328
396,5898,0.810214,0.84569,0.853866,0.871656,0.888192
