"Year","Area Unit","Area Group","Wheat","Rice","Maize","Other Cereals","Soybean","Oil Palm","Other Oilseeds","Fibre Crops","Sugar Crops","Roots and Tubers","Fruits","Vegetables"
2009,"Philippines",NA,0,16266417,7034033,251,842,516115,15709149,71639,22932819,2877856,19177655,5943365
2009,"Poland","EU-28",9789586,0,1706600,18330230,209,0,2533750,491,10849200,9702800,3685278,5812587
2009,"Portugal","EU-28",124146,161761,634069,198249,0,0,457699,0,11762,493744,1662366,2717453
2009,"Rest of Africa",NA,9171067,17690112,40056668,44707699,1049382,17778554,17780068,3073009,57787005,211904006,62774121,43130275
2009,"Rest of East Asia",NA,755468,53434554,5334362,828917,901690,160000,3785616,552930,11009927,8525923,9532506,23888851
2009,"Rest of Eastern Europe and Central Asia",NA,23687710,425199,2704273,4448949,144754,0,1093775,1613318,1005382,7140485,3925410,9991355
2009,"Rest of Latin America",NA,2889653,13356152,13762744,2793914,7006567,10020598,2297808,406998,148601843,20603797,43821987,14693670
2009,"Rest of North America",NA,0,0,0,0,0,0,0,0,0,0,0,43
2009,"Rest of Oceania",NA,0,15067,14263,4245,0,1911820,2786356,409,2422061,2127744,2222721,648397
2009,"Rest of South Asia",NA,1348343,8241756,2121691,342410,25792,0,2473683,18067,3287468,3041037,2082688,3579337
2009,"Rest of Western and Central Europe",NA,3756694,19870,7957507,1972756,361078,0,617517,734,4565283,2602560,3535747,4126786
2009,"Rest of Western Asia",NA,12129604,818074,1075281,2726271,1649,0,1442016,761896,898918,3251685,10428739,16314005
2009,"Romania","EU-28",5202526,72418,7973258,1624750,84268,0,1681308,3789,816814,4003980,2286304,3911752
2009,"Russia",NA,61739751,912969,3963433,28999323,943660,0,7251067,104668,24892024,31133958,3055380,14826581
2009,"Slovakia","EU-28",1537905,0,988053,806866,15379,0,582322,114,898807,216123,151166,299256
2009,"Slovenia","EU-28",136904,0,302600,97001,193,0,11857,0,0,120628,233947,81897
2009,"South Africa",NA,1958000,3067,12050000,559811,516000,0,959514,27591,18655088,1929602,6016974,2415940
2009,"Spain","EU-28",4804772,913754,3515617,8660790,2767,0,7887784,79452,4225580,2752155,14625534,13335529
2009,"Sweden","EU-28",2277900,0,0,2964000,0,0,317200,0,2405800,857900,36475,331085
2009,"Thailand",NA,1063,32397856,4616119,311731,178224,8162703,1506809,121177,66816446,30523902,10221007,3817099
2009,"Turkey",NA,20600000,750000,4250000,7969627,38442,0,2627083,1725005,17274674,4426337,14200464,26723844
2009,"UK","EU-28",14075596,0,0,7543417,0,0,1966371,16840,8457000,6396000,414221,2608880
2009,"Ukraine",NA,20886400,142900,10486300,13897810,1043500,0,8409976,2200,10067500,19666100,2000900,9028600
2009,"USA",NA,60365728,9972230,331921050,16407158,91469550,0,4079623,6417250,54626130,20507386,27475845,39441304
2009,"Uzbekistan",NA,6639800,194700,230800,313000,0,0,63717,3439351,0,1530500,2442500,6781900
2009,"Vietnam",NA,0,38950200,4371700,1623,215200,0,1669400,93868,15608300,10129800,6601127,8114504
2010,"Argentina",NA,9016373,1243259,22663095,7344020,52675464,0,3110868,757387,18889878,2522396,7274575,3301361
2010,"Australia",NA,21834010,196684,328000,11106179,59600,0,2063269,939000,31234824,1327922,3255893,2036315
2010,"Austria","EU-28",1517805,0,1955989,1392855,94544,0,257544,3325,3131666,671722,588856,590875
2010,"Bangladesh",NA,901490,50061200,887391,12769,69522,0,716884,969831,4490812,8236633,3701329,3689094
