"Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
1343,15579,1056,4165,4008,871,8012,1227,756
1305,13933,951,3587,4696,1060,6362,1698,649
1599,15334,1017,4655,4647,634,7560,1660,483
1252,12965,1003,4406,4737,755,7553,1727,774
1460,12324,1119,3636,4661,889,7931,1713,875
1008,15165,967,5103,4400,877,7611,1345,589
1336,16007,1016,4448,4586,897,7421,1893,576
1457,15610,963,4018,4459,915,7171,1017,805
1378,15262,1013,5245,4089,828,8033,1701,629
1300,14530,942,4733,5298,725,8700,1283,885
1471,17268,947,5002,4336,1200,8815,1863,615
1085,14517,968,5449,4835,924,6726,1718,620
1299,16616,1012,4888,3884,900,7592,1439,706
1226,13999,983,4777,4685,929,8077,1730,732
1368,13879,950,4863,4684,900,6483,1734,612
1097,13541,945,3827,4940,1037,6885,1536,670
1232,13407,1023,4622,4800,912,7654,1619,883
1223,16044,1060,4033,4362,829,7796,1547,470
1324,12899,1018,4735,5591,1073,6885,1456,624
1010,13495,944,3983,4442,909,7338,1382,712
1356,16617,1057,3849,4203,987,6527,1437,730
988,16174,998,4051,4555,1068,7326,1446,557
1381,15487,1043,4301,4552,1296,7682,1758,549
1454,14498,960,4694,4516,809,7887,1629,733
1241,15873,920,4074,4679,783,6135,1646,747
1345,14771,982,4305,5125,965,8738,1265,522
1240,14450,1031,4427,4608,852,8745,1584,843
1186,11653,1048,4118,4173,895,7006,1614,727
971,16433,1107,4438,4618,841,6820,1624,773
1678,14716,1028,5270,5001,835,7358,1554,693
1385,15296,887,4708,3950,679,6288,1784,672
1365,14971,991,4763,4191,880,7965,1495,693
1305,14738,1081,4513,4703,922,7556,1675,529
1098,14456,1035,4348,4761,980,7274,1637,688
1190,13872,1041,3756,4575,892,7295,1610,694
1232,13919,990,4148,3786,931,8266,1401,541
1119,13754,1051,5283,4627,902,7437,1757,589
1313,16383,995,5290,4470,878,6468,1568,396
1381,16668,925,4996,4702,862,6295,1276,825
1358,14859,975,4578,4817,808,7269,1645,761
1410,14975,1050,4365,4318,723,5674,1674,744
1299,12857,1054,5338,4121,950,6982,1669,839
910,13115,948,4343,5039,896,7110,1350,686
1226,14232,1067,4560,4803,791,6407,1596,750
1140,14335,924,4751,4256,852,6774,1524,830
1184,14194,1050,4652,4546,990,7168,1366,661
1282,17257,986,4589,4332,1126,7236,1593,726
1481,14695,1040,4430,4966,738,6132,1773,603
1273,15198,950,4906,5008,721,6599,1350,718
1463,13064,1040,4865,5379,912,6333,1563,565
1271,12754,1023,4170,4474,1040,7341,1658,603
1212,14690,1005,3701,4805,738,8707,1755,672
1126,14425,1008,5087,4471,862,8678,1474,551
1403,13363,991,4536,4167,920,6452,1553,714
1227,15788,1091,4518,4387,844,6342,1810,727
1299,14249,1050,4751,4569,1005,8592,1499,777
1058,13616,980,4810,4868,671,6510,1424,591
1013,16477,936,4047,3747,1056,7322,1707,669
1127,13788,999,4876,4823,872,6641,1516,765
1234,14244,978,4270,4348,880,8002,1606,475
1133,15122,1067,3792,4059,1033,6939,1452,681
1234,12945,1074,4567,4940,920,7513,1465,809
1045,13486,951,4623,5111,1200,8557,1338,713
1221,13754,980,4012,4448,783,6616,1659,737
1136,17388,956,5423,4319,955,6111,1333,649
1522,16005,985,4820,4406,717,7805,1667,790
1510,15485,1027,5031,4610,687,8880,1579,708
1514,17853,989,5228,4492,835,8268,1620,683
1448,15134,998,3597,4237,751,8495,1860,681
1260,14088,1033,4194,4884,957,6243,1383,622
1463,13780,935,4430,4445,973,7134,1520,771
1408,13279,1007,4458,4162,1027,8290,1512,608
1416,16247,1034,5091,4299,894,6623,1201,886
1299,13036,932,4320,4438,843,6822,1291,645
1502,15912,950,4723,4436,698,8260,1702,450
1266,13139,1056,5058,4560,1040,8491,1543,649
1221,15478,948,4127,4620,1071,7838,1438,744
1289,12573,1106,4800,4524,813,7931,1381,692
1153,16798,938,4310,4176,867,8133,1685,659
1149,14361,947,3649,4131,923,7042,1381,711
