"China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
3751,2089,4387,1999,3003
3318,335,4206,1590,2395
3379,1051,4090,2479,2345
3815,1174,4496,2003,2921
3593,1097,4957,1749,2330
3096,1428,4370,2074,2512
4539,1962,5202,1875,2713
3684,1083,4675,1573,3106
3614,1939,4238,1911,2587
3500,342,3814,1870,2652
4091,1027,3778,1594,2326
3603,1354,4695,1598,2963
3713,2051,4130,1742,2349
2971,1556,4629,1088,2939
3748,666,4251,2543,2990
3506,1406,4434,1762,2919
3244,1268,4164,2276,2336
2572,1172,3022,1734,2324
3999,1192,3457,2142,2648
3970,1021,4156,1691,2013
3717,909,4223,2027,2800
4094,1404,3849,2111,2676
3459,1324,3583,1284,2390
3653,784,4310,1759,2547
4337,1351,5114,2012,3256
3508,898,4116,1970,3324
4333,1562,3470,2037,3730
3387,1294,4198,2582,2533
3984,2173,4198,2551,3653
3243,1188,4076,1770,3041
3455,860,4104,1694,2531
4504,1090,3686,1082,2875
4385,1286,3418,1674,2460
3629,1019,4110,1734,3066
3653,623,3467,1907,2637
4270,1073,3907,2212,2296
3583,1024,3718,1802,2473
4602,1349,5097,1768,2557
3339,1109,3951,2197,2208
3436,1090,4898,1954,2961
3623,1117,4395,2250,2495
3597,1361,4145,1323,3366
4550,1466,3797,1750,2212
3865,1375,4231,1802,2372
3846,1332,5040,2005,2859
3758,443,4218,1536,2686
3203,1837,4373,1715,3279
4174,1444,4491,2097,3404
4334,1376,4349,1739,2706
3440,1441,4310,2121,3081
3871,1408,4338,1456,2614
3122,1454,4327,1734,2598
3892,1087,4171,1306,2574
3848,1452,4369,1103,2363
3865,1369,4535,2312,2581
3833,1604,4354,2145,3298
3525,1129,3868,2002,2435
3959,1290,4312,1964,2586
3681,1278,4915,1806,2814
3667,1054,3378,1266,2825
4524,2153,4517,1895,2043
3228,869,3934,1696,2336
3400,1445,4650,2649,2718
3573,1304,3931,1371,3393
3994,282,5365,2002,3707
3876,1168,4680,1097,2610
3851,679,4364,1935,2912
3536,1314,4257,1940,2693
3891,446,4099,1994,2511
4655,1860,4118,1645,2716
3781,1259,4310,1739,2664
3997,1199,5348,1966,3208
3518,1183,4532,1837,2792
4761,1050,4335,2034,2792
3854,748,4254,1918,2717
3601,1159,3960,1792,2586
2629,1017,3867,1505,3132
3388,345,4072,1915,3407
3984,1242,3867,1831,1562
3728,1855,4241,2090,3202
3424,1290,4872,1547,3395
3970,1303,4225,1463,3026
3327,1261,4013,1198,3147
3357,614,4174,1573,2807
2780,1333,5091,2026,2703
3509,745,3647,1912,2125
3559,1179,4007,1729,1653
3625,1010,4202,1825,2275
3481,947,4171,1918,2375
3441,731,3576,1922,2695
4058,1040,4196,1068,2289
3421,1225,3672,1824,2226
3471,1142,4201,1070,2706
4154,271,4853,1756,2676
3541,1451,4194,1161,2637
4300,250,3775,2562,2196
3664,1169,4165,2044,2715
3563,1099,4751,2051,2653
3079,1438,3535,1976,2484
3704,752,3836,1725,3168
3425,1130,4328,1976,2870
3493,1356,4369,1619,3010
2896,1464,4100,2264,2527
2989,844,3806,1843,2142
3463,1219,4022,1592,1990
2826,1136,3916,1232,2750
3685,1134,4157,2383,2799
3586,1359,3951,1879,2045
3780,1285,3810,1807,2796
3764,1212,4276,2698,3574
3537,1434,4172,1760,2846
4242,1214,3609,1906,2289
4496,980,3900,1696,2411
4171,963,3994,2261,2427
2767,352,3952,1696,2405
3408,1062,3318,2219,2476
3485,459,4213,2000,2553
3723,1734,4498,2170,2123
3870,1285,4110,1695,1742
3811,1113,3878,1404,2400
3906,1809,4404,1619,3093
2994,1358,4122,2133,2914
2747,1083,4029,1905,2823
3681,2242,4374,1324,3007
3891,1747,4756,2838,2753
3685,1478,4176,2129,2536
3724,631,4229,1697,2674
3672,994,4376,2611,2390
4515,1410,4559,1840,2897
3962,1094,4383,2270,2583
3857,1561,4645,1818,2218
3943,1464,4640,2479,2510
3869,1028,4745,2323,2427
3612,1012,4782,1499,2226
3834,358,4147,2409,3041
3210,1287,3927,1645,2704
3119,1021,3630,1673,3281
3871,1357,4396,2754,3530
3039,1291,5082,2604,2651
3777,1106,3451,2183,2067
4031,1060,4170,1722,3164
3850,1078,4693,1889,2801
3609,1349,3955,1935,2778
4003,1302,3966,1330,2580
3879,1130,5407,2067,2667
3399,1144,4314,986,2424
3862,351,4090,976,2820
3168,927,4515,2027,2799
4141,1097,4620,1967,2719
3555,1549,4856,1939,2831
3398,875,3856,1666,2596
3818,1512,4752,1786,2594
4060,1050,4304,2036,2519
3495,1003,4179,883,2439
4001,1105,4963,1891,2850
3461,408,3877,1558,2486
4062,1847,4321,2043,2571
2822,1060,3415,2217,1819
3667,1002,3800,1566,2346
3640,1481,3631,2186,2825
3697,449,4050,1625,1855
3808,1884,5015,1865,2673
3828,1189,4042,1801,2388
4050,2313,3844,3001,2195
3969,2004,4126,2251,2552
3479,1166,3798,1625,2400
3702,995,4119,2530,2641
3301,1291,4518,1982,2065
3953,669,4015,1805,1732
3737,1260,4140,1900,1705
3973,1530,4452,2106,2174
3607,1519,4234,1733,2510
3331,960,4080,2559,2380
4107,696,4699,2126,2950
3852,688,4204,2844,2215
3451,1718,3809,1502,2533
4059,682,4514,958,2746
3525,1330,4826,2007,2296
4240,1566,4323,1806,3050
3723,1305,4116,1906,2680
3626,907,4102,1659,2484
3438,1465,4152,1909,2648
3507,253,4819,1236,2603
3739,1283,4238,1926,2748
3543,1073,4580,1641,2522
4578,1092,4323,1440,2815
3690,1421,4165,1723,2820
4159,1438,4274,1731,2877
3506,1248,4811,1776,3515
3187,1048,3450,1552,2839
3599,1092,3605,1971,2572
3810,1504,3898,2052,2412
3925,1369,4447,2892,2582
2630,1011,3732,1762,2470
3452,1054,4940,1784,3442
3552,1502,3780,1983,2582
4368,1228,4546,1806,2601
3525,1148,4017,2047,2221
4125,1450,4381,1695,2623
3653,903,4398,1613,2027
3928,1203,4411,2043,2801
3826,1065,4012,1734,2467
4203,1313,3811,2053,3148
4296,1952,4053,2560,3282
3879,1501,5135,2533,2831
3893,1194,3794,2567,3011
3763,1396,4580,2549,2441
4586,1106,4303,1721,2884
2962,768,4806,1980,2644
3408,1205,4128,1949,3655
4779,1438,5172,1815,2746
4100,1604,4452,2137,2233
3554,909,3504,1245,2665
3875,924,4676,1839,2880
3409,1126,4225,2055,2566
3770,477,4480,2092,2890
3330,1467,4242,1528,3139
2843,1365,4128,1972,2479
3964,1169,4734,2360,1879
3993,2268,5269,2942,2786
3848,359,4324,1957,2607
3256,1284,4539,1884,2970
3699,464,3937,1771,2332
3617,1376,3803,1788,2632
3919,1333,4283,1835,2623
3692,1136,4630,1804,2956
3675,1169,3744,1671,2502
3773,1183,4643,1862,2888
3859,1350,4366,1517,3530
3142,979,3825,1005,2517
3389,1007,4164,1892,2579
3632,1158,4112,1683,2622
3576,1073,4096,2175,2789
4193,1105,4314,1303,2835
4535,1298,4123,1589,2698
3868,1405,4625,1660,3114
3553,1343,4810,2182,2768
4515,1065,4003,2123,2490
3585,1101,4228,1981,2990
3569,1447,3248,1851,2755
3830,2077,3614,1861,2411
3911,1521,4016,1567,2544
3185,1285,4380,1944,1825
3410,1504,3842,1550,2408
3761,1340,3983,1687,2648
3678,1102,3313,1957,2818
2870,1162,4677,1948,2549
3849,2131,5286,1447,2607
3834,2080,4434,1984,2182
3913,1365,4192,1719,2810
3772,2142,4275,1858,2146
3702,1341,3949,1977,3166
3223,1029,4480,2717,2392
3522,1701,4047,1627,3035
3324,1239,3706,842,2416
4553,1048,4325,1495,2597
3794,1570,4448,2719,3320
3600,851,3232,1747,2607
3222,1009,3827,1768,2203
3865,643,5190,1996,2770
3764,1273,3519,2503,2609
4517,703,4506,1897,2965
3582,1265,4865,1762,2627
3291,358,3906,1694,2295
3973,1281,4742,2026,2810
3914,1296,4434,1324,2699
3565,1655,4371,1985,2488
3342,1082,4249,1533,2761
3839,1807,4187,1974,2184
4503,1276,4094,1941,2157
3431,894,3268,1224,2656
3287,1058,4151,2020,2891
3773,1183,3561,2402,2022
3819,1927,4357,2618,3305
3527,1353,4016,1767,3448
4003,1102,4299,1825,1861
2736,1089,4006,1310,3335
3815,1175,3659,2279,2357
3606,1137,5101,1741,2777
3633,1058,4077,1799,2759
3635,1144,4239,1874,2478
3995,1156,3930,1735,2720
3601,1408,3943,1866,2211
4119,1567,4443,1767,2525
4103,1259,4340,2896,2564
3636,1116,3149,1849,1677
3818,1182,5647,1994,2848
4275,1079,4304,2273,2895
3992,1031,4256,1996,2507
4408,1107,3956,1797,2379
3773,1276,4078,918,2883
3456,1492,4564,2398,3310
4004,2169,4766,2045,2772
4142,1391,4730,1062,1963
4040,1531,4186,2338,2549
3505,1064,4121,2022,1726
3481,825,3941,1659,1805
3908,2204,4348,1313,2366
3165,1160,4111,2667,2207
3919,1172,3529,1705,3177
3829,1749,4428,1930,2604
3645,366,3264,1996,2537
3567,1308,4375,1501,2417
4100,391,3682,1380,2707
3871,1086,4358,1580,2083
3604,1354,4186,1767,2555
4416,1651,4708,1981,3170
3862,2003,4347,1763,2805
3893,1285,5076,2004,2539
3691,1417,3976,1472,3033
3534,1313,4818,1927,3201
3424,1097,4258,1692,2473
3753,875,4136,1507,2513
3668,1069,4047,1636,2937
3735,1016,4069,2108,2725
3632,1002,4679,2000,2953
3121,1441,4287,1712,2653
3956,1829,4278,2485,1894
2956,1314,4248,1869,2946
2911,1486,4268,1617,2040
3578,1719,4297,1624,1914
3630,1013,4150,2362,3272
3879,887,4262,1782,2758
3719,671,4461,2221,1837
3638,1350,3653,2664,2950
2762,990,4315,1832,3495
2816,371,4332,2500,2593
4559,1421,4458,1835,2854
3171,233,3421,887,2415
4022,1767,4461,2203,3587
3966,1037,4497,1938,2552
3961,1930,4211,1847,2913
3815,1317,4168,1985,2762
3581,1065,4752,1007,2172
4156,2104,4013,1918,1997
3163,947,4094,2001,1885
3450,609,3738,1347,2247
3606,1283,4653,1642,2866
3705,879,4370,2027,2819
3645,1433,4288,2689,3283
3860,1044,4084,1998,2808
3877,1220,3903,2400,3156
4048,1311,4755,2096,1777
2993,1381,3686,1180,1544
3625,1191,4212,1066,2705
4508,1063,4367,1835,2417
4211,1469,4284,2219,2741
3718,1141,4064,1689,1620
3781,1325,3775,2057,2872
3910,621,4081,1251,2467
3005,1517,4924,1674,2655
4562,1209,4584,2036,2780
3743,370,4118,1863,2787
3133,1147,4573,2224,1892
3894,1407,3863,2653,2210
3298,1825,3787,1795,2821
3641,1016,3770,1562,2621
3453,1191,4613,1845,2660
3544,1103,3998,2686,2618
4149,1090,4162,1907,2433
3262,1270,3745,1502,2487
3875,772,4245,1109,2085
4172,1332,5299,2063,3126
3814,906,4608,1681,2637
3512,1059,4247,1615,2706
3680,1322,3868,1911,2679
4019,651,4164,2010,3063
4779,960,5083,1793,3574
3774,629,3995,1266,2711
3502,1260,4020,1854,2987
4019,1446,4433,1775,2523
3736,1520,4820,1868,2548
3706,1243,4451,1315,2660
2931,1220,4359,1960,2054
3894,1333,4179,1577,2758
3378,1060,4232,2287,2707
4040,2099,4357,1849,2890
3093,1203,3647,2198,3236
3391,978,3818,1551,2538
3124,1072,4321,2804,2734
3818,1122,3389,1025,2694
3464,1220,3928,1974,1986
2905,1323,4281,996,1840
3888,1420,4512,2215,3096
3236,1474,4485,1206,2843
3547,1077,3767,1833,2857
3138,1426,3717,855,2567
3997,1226,4767,1745,3404
2771,1202,4105,1829,2830
3907,1285,4940,1844,2350
4890,1127,4161,2271,2780
3765,1007,3934,2042,2339
3756,997,4099,1963,2517
3824,1252,4446,1828,2620
2781,1690,4346,1918,2801
3834,2043,3907,1722,2472
3903,2217,4284,2687,3060
3808,914,4267,1403,2479
3296,1134,4395,862,2623
3971,1023,4165,2516,3497
2538,1036,3600,1181,2318
3376,1341,3902,1080,1836
2629,1718,3889,1773,2646
3638,1058,3911,1532,2503
3988,969,4943,1740,3105
