"Simulation","Scenario","Region","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
19,"Business As Usual","Latin America",0.0632484573566003,0.046392308985767,0.0465057411617001,0.00351745033718771,0.0110317335415469
19,"Business As Usual","North America",0.11849699078257,NA,0.0634037741451558,0.049018242309483,0.056565899575268
19,"Business As Usual","Oceania",0.183695816554647,0.127677920642597,0.182304429906927,0.0567725131694545,0.0899197674142294
19,"Business As Usual","South Asia",0,0,0,0,0
19,"Business As Usual","Western and Central Europe",0.128916458045901,NA,NA,0.135154143516362,0.106333842487766
19,"Business As Usual","Western Asia",0.11934504917472,0.15463022537268,NA,0.121952752715556,0.142824125314393
20,"Business As Usual","Africa",0.188575091858426,0.11325344042038,0.158344998185298,0.129430106189308,0.115791766952658
20,"Business As Usual","East Asia",0.1409264527586,0.101873638612279,0.112300354057138,0.0790336618782133,0.0790720636545628
20,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.103066323534409
20,"Business As Usual","Latin America",0.0891651217190548,0.0474438933956999,0.0197163202118267,0.0207732457760309,0
20,"Business As Usual","North America",0.0617048752751598,NA,0.0104936048418123,0.0558284068878932,0.0156669999796847
20,"Business As Usual","Oceania",0.182682654218852,0.113817349036435,0.138315120662226,0.106084206329951,0.04035875101578
20,"Business As Usual","South Asia",0,0,0,0,0.0118133418327644
20,"Business As Usual","Western and Central Europe",0.185710608408147,NA,NA,0.10103521258554,0.0585378759768921
20,"Business As Usual","Western Asia",0.218596950427745,0.0841622824383046,NA,0.129687094507468,0.0770937347349977
21,"Business As Usual","Africa",0.149335405148463,0.16590902095228,0.0799697366808059,0.102905845548488,0.161594162172215
21,"Business As Usual","East Asia",0.0876551612498701,0.080776910114877,0.111451162472132,0.0953707959877084,0.0780259479799147
21,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.123979338316191
21,"Business As Usual","Latin America",0.0513946471044562,0.0503620352080241,0.0118274218731245,0.00208980220099204,0.00890748174724978
21,"Business As Usual","North America",0.109179504297704,NA,0,0.0449608999954581,0.108722507631469
21,"Business As Usual","Oceania",0.150288305973767,0.149555781447396,0.136030197237182,0.136017513440816,0.0411363213974815
21,"Business As Usual","South Asia",0,0,0.028512193739637,0,0
21,"Business As Usual","Western and Central Europe",0.124995780321264,NA,NA,0.103657502674064,0.0782581376914414
21,"Business As Usual","Western Asia",0.146354001530537,0.11500525727546,NA,0.140530417004249,0.091292535348268
22,"Business As Usual","Africa",0.182385929434629,0.181689375302986,0.178318096082045,0.102151245576406,0.123564167346751
22,"Business As Usual","East Asia",0.0387095559996637,0.00830979137662097,0,0,0
22,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.0826952344572803
22,"Business As Usual","Latin America",0.110126617201695,0.0892816710484705,0.0639146339680876,0.0651160890099178,0.0244583299829954
22,"Business As Usual","North America",0.126199933189982,NA,0.00913704997190944,0.0536075731766014,0.0368474619365549
22,"Business As Usual","Oceania",0.202685255706084,0.176830857339472,0.201725155300382,0.198361007329168,0.089188808015747
22,"Business As Usual","South Asia",0,0,0.0322063778323096,0.0395313378879923,0.00217476299674151
22,"Business As Usual","Western and Central Europe",0.231281833875297,NA,NA,0.138953473551317,0.0777230338938409
22,"Business As Usual","Western Asia",0.220677175142292,0.204649103212956,NA,0.183011562843533,0.125218671408529
23,"Business As Usual","Africa",0.110114228890865,0.14279607741572,0.116938434809234,0.106287106847766,0.13028563338862
23,"Business As Usual","East Asia",0.0543504548288566,0.0666552910411707,0.09005765106375,0.0489591114197943,0.0652459763526026
23,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.156824044065824
23,"Business As Usual","Latin America",0.0339293140701804,0.0252217174267965,0,0,0.00940416952740053
23,"Business As Usual","North America",0.0727813357170262,NA,0.0439642933330877,0.0494806834611167,0
23,"Business As Usual","Oceania",0.141293780599656,0.109827528899666,0.12953472325862,0.161308001334612,0.0548685998904793
23,"Business As Usual","South Asia",0,0,0.0129994956544685,0.0361411748820435,0.0125247733190395
23,"Business As Usual","Western and Central Europe",0.0986839060463853,NA,NA,0.082848992681894,0.0706788857284625
23,"Business As Usual","Western Asia",0.125162765325215,0.111264428845337,NA,0.162228441014771,0.116781068169008
