"Scenario","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
"Stratified Societies",4337,675,4327,1821,2847
"Stratified Societies",3696,1306,5020,1818,2711
"Stratified Societies",3196,347,3792,1645,2229
"Stratified Societies",3962,1278,4729,2021,2802
"Stratified Societies",3910,1295,4430,1323,2697
"Stratified Societies",3853,1789,4724,2145,2689
"Stratified Societies",3513,1137,4466,1612,2902
"Stratified Societies",3802,1790,4148,1955,2164
"Stratified Societies",4137,1172,3761,1784,1982
"Stratified Societies",3517,916,3350,1255,2723
"Stratified Societies",3502,1127,4423,2152,3080
"Stratified Societies",3817,1197,3602,2430,2046
"Stratified Societies",3453,1743,3939,2368,2988
"Stratified Societies",3272,1255,3726,1640,3198
"Stratified Societies",4118,1133,4423,1877,1914
"Stratified Societies",3116,1241,4563,1493,3798
"Stratified Societies",4243,1307,4069,2535,2621
"Stratified Societies",3424,1080,4843,1653,2637
"Stratified Societies",4120,1201,4624,2041,3129
"Stratified Societies",4038,1272,4710,2082,2753
"Stratified Societies",4095,1185,4029,1778,2788
"Stratified Societies",3906,1527,4276,2024,2398
"Stratified Societies",4347,1654,4689,1865,2665
"Stratified Societies",3795,1164,4014,2679,2371
"Stratified Societies",3909,1200,3386,1988,1803
"Stratified Societies",3614,1119,5345,1887,2696
"Stratified Societies",4409,1113,4439,2345,2986
"Stratified Societies",3874,1001,4130,1937,2432
"Stratified Societies",4449,1117,3994,1814,2401
"Stratified Societies",3744,1266,4048,911,2862
"Stratified Societies",3486,1504,4604,2419,3339
"Stratified Societies",4012,2173,4775,2049,2777
"Stratified Societies",3827,1285,4370,981,1813
"Stratified Societies",4359,1651,4516,2522,2749
"Stratified Societies",3725,1131,4380,2149,1834
"Stratified Societies",3746,888,4240,1785,1942
"Stratified Societies",3671,2070,4084,1233,2222
"Stratified Societies",3408,1249,4427,2873,2377
"Stratified Societies",3640,1088,3278,1583,2950
"Stratified Societies",3739,1708,4324,1884,2542
"Stratified Societies",3916,393,3507,2144,2725
"Stratified Societies",3741,1372,4588,1574,2534
"Stratified Societies",4124,393,3704,1388,2724
"Stratified Societies",4040,1134,4549,1649,2174
"Stratified Societies",3524,1324,4093,1728,2498
"Stratified Societies",4853,1815,5173,2177,3483
"Stratified Societies",3770,1955,4244,1721,2739
"Stratified Societies",3813,1259,4972,1963,2487
"Stratified Societies",3725,1430,4013,1485,3061
"Stratified Societies",3407,1266,4645,1857,3086
"Stratified Societies",3513,1125,4370,1736,2538
"Stratified Societies",3880,904,4276,1557,2597
"Stratified Societies",4042,1179,4460,1803,3237
"Stratified Societies",3808,1036,4148,2149,2779
"Stratified Societies",3506,967,4517,1930,2850
"Stratified Societies",3331,1538,4576,1827,2831
"Stratified Societies",3977,1839,4301,2499,1904
"Stratified Societies",2919,1297,4194,1846,2909
"Stratified Societies",3134,1600,4595,1740,2196
"Stratified Societies",3577,1718,4295,1623,1913
"Stratified Societies",3713,1036,4244,2416,3346
"Stratified Societies",4026,920,4424,1850,2862
"Stratified Societies",3236,584,3882,1932,1599
"Stratified Societies",3662,1359,3677,2682,2969
"Stratified Societies",3021,1083,4720,2003,3822
"Stratified Societies",2980,393,4583,2645,2744
"Stratified Societies",4190,1306,4097,1686,2623
"Stratified Societies",3456,254,3728,967,2632
"Stratified Societies",3778,1660,4191,2070,3370
"Stratified Societies",4000,1046,4536,1954,2575
"Stratified Societies",4279,2086,4550,1996,3148
"Stratified Societies",3926,1355,4289,2043,2842
"Stratified Societies",3707,1103,4920,1042,2249
"Stratified Societies",4345,2200,4196,2005,2088
"Stratified Societies",3160,946,4091,1999,1883
"Stratified Societies",3677,649,3984,1436,2394
"Stratified Societies",3591,1277,4634,1635,2854
"Stratified Societies",3770,894,4447,2063,2868
"Stratified Societies",3897,1532,4585,2875,3510
"Stratified Societies",4133,1118,4374,2140,3007
"Stratified Societies",4231,1332,4259,2619,3444
"Stratified Societies",4028,1304,4732,2086,1768
"Stratified Societies",3340,1541,4114,1317,1723
"Stratified Societies",3487,1145,4052,1025,2602
"Stratified Societies",4767,1124,4618,1940,2556
"Stratified Societies",4224,1473,4297,2226,2750
"Stratified Societies",4110,1261,4493,1867,1791
"Stratified Societies",3867,1355,3860,2104,2937
"Stratified Societies",4197,667,4381,1343,2648
"Stratified Societies",3075,1553,5039,1713,2717
"Stratified Societies",4249,1126,4270,1896,2589
"Stratified Societies",4022,398,4424,2001,2994
"Stratified Societies",3036,1111,4431,2155,1833
"Stratified Societies",4052,1465,4020,2761,2300
"Stratified Societies",3486,1929,4002,1897,2981
"Stratified Societies",4125,1151,4271,1769,2969
"Stratified Societies",3586,1237,4790,1916,2762
"Stratified Societies",3661,1139,4130,2775,2705
"Stratified Societies",4300,1130,4314,1976,2522
"Stratified Societies",3373,1313,3872,1553,2571
"Stratified Societies",3968,791,4348,1136,2135
"Stratified Societies",3919,1251,4978,1938,2937
"Stratified Societies",3590,853,4338,1583,2482
"Stratified Societies",3777,1139,4568,1737,2910
"Stratified Societies",3848,1383,4045,1998,2802
"Stratified Societies",3880,628,4020,1940,2957
"Stratified Societies",4851,974,5160,1820,3628
"Stratified Societies",4096,683,4336,1374,2943
"Stratified Societies",3363,1210,3861,1780,2869
"Stratified Societies",4284,1542,4725,1892,2690
"Stratified Societies",3704,1507,4779,1852,2526
"Stratified Societies",3812,1278,4578,1352,2736
"Stratified Societies",3160,1316,4699,2113,2214
"Stratified Societies",3863,1322,4146,1565,2736
"Stratified Societies",3245,1018,4066,2197,2601
"Stratified Societies",4539,2358,4895,2078,3247
"Stratified Societies",3557,1384,4193,2527,3721
"Stratified Societies",3527,1018,3971,1613,2639
"Stratified Societies",3185,1093,4406,2859,2787
"Stratified Societies",3955,1163,3512,1062,2791
"Stratified Societies",3818,1345,4330,2176,2190
"Stratified Societies",2818,1284,4153,966,1786
"Stratified Societies",3409,1245,3956,1942,2715
"Stratified Societies",2768,1261,3836,1032,2431
"Stratified Societies",3283,997,3487,1697,2645
"Stratified Societies",3441,1564,4077,938,2815
"Stratified Societies",4207,1291,5018,1837,3583
"Stratified Societies",2965,1286,4392,1957,3028
"Stratified Societies",3931,1292,4969,1855,2364
"Stratified Societies",4640,1070,3948,2154,2638
"Stratified Societies",3666,980,3831,1988,2278
"Stratified Societies",3983,1058,4347,2082,2669
"Stratified Societies",3882,1271,4514,1856,2661
"Stratified Societies",2987,1815,4668,2061,3009
"Stratified Societies",3925,2091,4000,1763,2531
"Stratified Societies",4033,2291,4426,2776,3162
"Stratified Societies",4068,977,4558,1499,2648
"Stratified Societies",3282,1129,4375,858,2612
"Stratified Societies",3811,982,3997,2415,3356
"Stratified Societies",2856,1166,4050,1329,2608
"Stratified Societies",3398,1349,3927,1087,1848
"Stratified Societies",2760,1803,4083,1861,2778
"Stratified Societies",3479,1012,3740,1465,2394
"Stratified Societies",3879,943,4807,1693,3020
"Stratified Societies",4021,1504,5367,2615,2925
"Stratified Societies",4519,384,5432,1065,3260
"Stratified Societies",4031,1253,3802,2473,2560
"Stratified Societies",3957,1358,4412,1797,2579
"Stratified Societies",3914,1475,4668,1712,2599
"Stratified Societies",3717,1451,4188,1879,2132
"Stratified Societies",3941,786,4201,2712,2334
"Stratified Societies",2775,1073,3851,1951,2203
"Stratified Societies",3816,1374,4129,1901,2586
"Stratified Societies",3567,958,4445,2033,2386
"Stratified Societies",4168,1387,4830,1333,3048
"Stratified Societies",2624,1594,4088,1781,3320
"Stratified Societies",3868,1287,4783,1526,2316
"Stratified Societies",3739,1263,4450,1782,1689
"Stratified Societies",3596,1104,3024,1848,2362
"Stratified Societies",3820,682,3666,2097,3734
"Stratified Societies",3527,1418,4008,1839,2438
"Stratified Societies",3584,1333,5139,1008,3210
"Stratified Societies",3832,1371,3853,918,2466
"Stratified Societies",2977,1467,4337,2173,2658
"Stratified Societies",4230,1887,4738,1846,3013
"Stratified Societies",3558,1190,3793,1963,1849
"Stratified Societies",4582,992,5066,2730,2758
"Stratified Societies",3507,1321,4339,1302,2880
"Stratified Societies",3530,1816,4109,2038,2634
"Stratified Societies",3601,1378,4932,1695,2130
"Stratified Societies",3899,1099,4082,2091,2599
"Stratified Societies",3650,1326,4259,1554,3563
"Stratified Societies",2974,1089,4094,1848,3526
"Stratified Societies",3792,1310,4013,1963,2469
"Stratified Societies",3820,1549,5057,1777,2828
"Stratified Societies",3202,1372,4185,2375,2849
"Stratified Societies",4007,1354,5443,3039,2715
"Stratified Societies",3676,1470,3690,2273,2970
"Stratified Societies",3840,984,4270,1743,2617
"Stratified Societies",4010,1305,4663,2264,1873
"Stratified Societies",4251,1490,4096,1795,3117
"Stratified Societies",3987,297,4709,2735,2950
"Stratified Societies",4399,1286,3949,1815,2809
"Stratified Societies",4443,1222,3932,2647,2661
"Stratified Societies",4143,1408,4212,2046,2739
"Stratified Societies",3156,1796,4193,2123,3071
"Stratified Societies",3768,1074,4001,891,2462
"Stratified Societies",4150,1863,4484,1936,2574
"Stratified Societies",3763,666,4270,2225,2942
"Stratified Societies",4435,1102,4162,1863,2763
"Stratified Societies",3484,1393,4428,1801,3284
"Stratified Societies",3891,1391,4373,2080,3453
"Stratified Societies",3554,1058,4232,1797,2026
"Stratified Societies",3956,445,4228,1618,2455
"Stratified Societies",3711,450,4045,2145,2635
"Stratified Societies",3209,492,5069,1100,3270
"Stratified Societies",3785,996,4497,2997,2921
"Stratified Societies",4637,1361,4848,1114,2819
"Stratified Societies",2862,1286,4196,1956,2853
"Stratified Societies",3954,1604,4618,2120,2929
"Stratified Societies",3146,1369,4331,1970,2879
"Stratified Societies",3674,1092,3782,1963,2583
"Stratified Societies",3656,1198,3902,1644,2466
"Stratified Societies",2998,1331,4283,2079,2726
"Stratified Societies",3838,1120,3634,2096,3009
"Stratified Societies",3258,1738,4057,1778,2420
