"Scenario","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
"Business As Usual",3567,1089,4457,904,2564
"Business As Usual",3856,390,3585,1755,1804
"Business As Usual",4073,1387,4270,1977,3686
"Business As Usual",3757,1477,4535,1842,2923
"Business As Usual",3347,919,5151,1847,3404
"Business As Usual",3753,974,3354,1845,2670
"Business As Usual",3793,658,4475,2031,2908
"Business As Usual",3555,1092,4425,1724,2490
"Business As Usual",4054,1248,4263,2036,2701
"Business As Usual",4093,1108,4161,1824,2785
"Business As Usual",4140,1473,4277,1776,2486
"Business As Usual",3551,1551,4162,1667,2706
"Business As Usual",3213,1305,4102,1794,2237
"Business As Usual",3897,1227,4254,1949,2042
"Business As Usual",3909,1197,4397,1427,2628
"Business As Usual",3342,732,3883,1436,2488
"Business As Usual",3525,1261,3046,1896,3199
"Business As Usual",3878,2014,3672,2008,2382
"Business As Usual",3907,2213,5384,1889,2959
"Business As Usual",3685,1309,4044,1734,3082
"Business As Usual",3819,928,3589,2030,2386
"Business As Usual",4340,1047,5204,1582,2567
"Business As Usual",3646,1022,4491,2518,2430
"Business As Usual",4773,1143,4408,1889,2818
"Business As Usual",3872,775,3885,1303,2710
"Business As Usual",2589,1254,3216,1535,3276
"Business As Usual",3701,1375,4285,1943,2423
"Business As Usual",3870,737,4398,1249,2401
"Business As Usual",3791,938,3428,1868,3311
"Business As Usual",3656,1012,5043,1661,2559
"Business As Usual",4270,472,4429,2060,2807
"Business As Usual",3659,648,3964,1408,2174
"Business As Usual",3765,667,4868,2430,3072
"Business As Usual",3958,475,4256,2969,2674
"Business As Usual",4119,971,4816,2254,3873
"Business As Usual",3895,1348,4470,1599,3525
"Business As Usual",3517,1332,4388,1482,3084
"Business As Usual",2997,1248,4043,1671,2836
"Business As Usual",3605,1333,3524,1994,2661
"Business As Usual",4411,1327,3681,1037,2598
"Business As Usual",3781,1775,4138,2415,2833
"Business As Usual",4680,1132,4764,1793,2408
"Business As Usual",3405,1237,4540,1913,2690
"Business As Usual",3217,1162,4362,1961,2362
"Business As Usual",3857,2004,4344,1737,2422
"Business As Usual",3494,1388,4509,1783,1711
"Business As Usual",4065,1379,4496,1826,2846
